species	Duration_overlap
Acerodon_mackloti	0.177233395
Aegialomys_galapagoensis	0.00166
Agathaeromys_praeuniversitatis	0
Algarolutra_majori	0
Amblyrhiza_inundata	0
Antillomys_rayi	0.019562862
Aonyx_cinereus	0.226152035
Apodemus_argenteus	0.13488
Apodemus_mystacinus_FOSSIL	0.16
Apodemus_speciosus	0.13488
Apodemus_sylvaticus	0.088
Arctictis_binturong	0.28
Arctogalidia_trivirgata	0.137324933
Asoriculus_burgioi	0
Asoriculus_corsicanus	0.040110114
Asoriculus_similis	0
Axis_calamianensis	0.173062098
Axis_kuhlii	0.183451733
Bibos_palaesondaicus	0
Bison_priscus_siciliae	0
Bison_sp_Hondo	0.057214247
Boromys_offella	0.022863613
Boromys_torrei	0.022521458
Bos_javanicus	0.28
Bos_primigenius_bubaloides	0
Bos_primigenius_siciliae	0
Brotomys_contractus	0.01238778
Brotomys_voratus	0.023058366
Bubalus_cebuensis	0
Bubalus_grovesi	0.173119452
Bubalus_mindorensis	0.09044978
Bubalus_palaeokerabau	0
Bubalus_sp_Hondo	0
Bubalus_sp_Luzon	0
Callosciurus_notatus	0.28
Callosciurus_prevostii	0.13740556
Canariomys_bravoi	0.002611364
Canariomys_tamarani	0.005682977
Candiacervus_cerigensis	0
Candiacervus_cretensis	0
Candiacervus_dorothensis	0
Candiacervus_major	0
Candiacervus_rethymnensis	0
Candiacervus_ropalophorus	0
Candiacervus_sp_II	0
Canis_aureus	0.152
Canis_lupus	0.13292
Capreolus_miyakoensis	0.067583135
Capricornis_crispus	0.111278612
Capricornis_sp_Hondo	0.073018828
Capricornis_sumatraensis_FOSSIL	0.28
Capromys_pilorides	0.023616
Capromys_pilorides_lewisi	0.000956887
Catopuma_badia	0.137093255
Cervus_elaphus	0.088
Cervus_elaphus_rossii	0
Cervus_elaphus_siciliae	0.048430559
Cervus_nippon	0.2
Chalinolobus_tuberculatus	0.003
Chasmaporthetes_melei	0
Chimarrogale_platycephalus	0.13292
Cordimus_debuisonjei	0
Cordimus_hooijeri	0.008977942
Cordimus_raton	0
Crocidura_canariensis	0.009244
Crocidura_dsinezumi	0.13488
Crocidura_foetida	0.13758217
