species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.176803104
Aegialomys_galapagoensis	2	0	0.00166
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	0.560985656	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.01958656
Aonyx_cinereus	2	0	0.214558325
Apodemus_argenteus	2	0	0.13488
Apodemus_mystacinus_FOSSIL	2	0.420824141	0.16
Apodemus_speciosus	2	0	0.13488
Apodemus_sylvaticus	2	0	0.088
Arctictis_binturong	2	3.844960499	0.28
Arctogalidia_trivirgata	2	0	0.12735919
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.039476192
Asoriculus_similis	1	1.550486908	0
Axis_calamianensis	2	0	0.188
Axis_kuhlii	2	0	0.188049707
Bibos_palaesondaicus	1	3.321327098	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.055193484
Boromys_offella	2	0	0.022839122
Boromys_torrei	2	0	0.022387758
Bos_javanicus	2	0.09301494	0.28
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.012591852
Brotomys_voratus	2	0	0.023022566
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	0.594	0.171985456
Bubalus_mindorensis	2	0	0.125632628
Bubalus_palaeokerabau	1	4.087843814	0
Bubalus_sp_Hondo	0	0	0
Bubalus_sp_Luzon	1	2.680537156	0
Callosciurus_notatus	2	0.012304	0.28
Callosciurus_prevostii	2	0	0.127794569
Canariomys_bravoi	2	0	0.002723626
Canariomys_tamarani	2	0	0.005771142
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	0.396335458	0
Candiacervus_dorothensis	0	0	0
Candiacervus_major	1	0.193037715	0
Candiacervus_rethymnensis	1	0.38430245	0
Candiacervus_ropalophorus	1	0.392024642	0
Candiacervus_sp_II	1	0.360340191	0
Canis_aureus	2	0	0.152
Canis_lupus	2	0	0.13292
Capreolus_miyakoensis	2	0	0.066585573
Capricornis_crispus	2	0	0.110933437
Capricornis_sp_Hondo	2	0	0.075223912
Capricornis_sumatraensis_FOSSIL	2	0.394043599	0.28
Capromys_pilorides	2	0	0.023616
Capromys_pilorides_lewisi	2	0	0.001030625
Catopuma_badia	2	0	0.127753325
Cervus_elaphus	2	0	0.088
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.051184135
Cervus_nippon	2	1.6	0.2
Chalinolobus_tuberculatus	2	0	0.003
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.13292
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.011384673
Cordimus_raton	0	0	0
Crocidura_canariensis	2	0	0.009244
Crocidura_dsinezumi	2	0	0.13488
Crocidura_foetida	2	0	0.127804676
Crocidura_palawanensis	2	0	0.152667482
Crocidura_rhoditis	2	0	0.031725479
Crocidura_sicula_esuae	0	0	0
Crocidura_sicula_sicula_FOSSIL	2	0	0.088
Crocidura_zimmermanni	2	0.46	0.036
Crocidura_zimmermanni_FOSSIL	2	0.46	0.036
Cynocephalus_volans	2	0	0.049566387
Cynopterus_brachyotis	2	0	0.188
Cynopterus_horsfieldii	2	0	0.127732483
Cynotherium_malatestai	1	1.386969674	0
Cynotherium_sardous	2	1.555464	0.003070472
Dama_carburangelensis	2	0	0.047312105
Dasyprocta_punctata	2	0	0.024
Dasypterus_insularis	2	0	0.024096
Deinogalerix_brevirostris	0	0	0
Deinogalerix_koenigswaldi	0	0	0
Didelphis_marsupialis	2	0	0.024
Dobsonia_crenulata	2	0	0.08821629
Dobsonia_moluccensis	2	0	0.111675315
Dobsonia_peronii	2	0.18664675	0.188
Dobsonia_viridis	2	0	0.0844
Duboisia_santeng	1	2.70312295	0
Echinosorex_gymnura	2	0	0.18
Elasmodontomys_obliquus	2	0	0.01587056
Elephas_maximus	2	0.50841499	0.28
Elephas_sp_Luzon_Visayan	1	2.159350499	0
Elephas_sp_Sulawesi	1	0.054729807	0
Emballonura_alecto	2	0	0.067709914
Emballonura_semicaudata	2	0	0.0138
Enhydrictis_galictoides	1	1.546700124	0
Enhydrictis_praegalictoides	0	0	0
Eonycteris_spelaea	2	0	0.175346489
Epileptobos_groeneveldtii	1	2.531740972	0
Eptesicus_serotinus	2	1.512	0.088
Erinaceus_europaeus	2	0	0.088
Eulemur_fulvus	2	0	0.008
Eulemur_mongoz	2	0	0.008
Funambulus_layardi	2	0	0.147364794
Galeopterus_variegatus	2	0	0.088652863
Genetta_plesictoides	2	0	0.011204647
